,                      :суб'єкт-висування ,                   :фіо , :номер-у-списку , :округ , :фракція , :на-два-кластери-за-голосуваннями , :на-три-кластерів-за-голосуваннями , :на-п'ять-кластерів-за-голосуваннями , :на-дев'ять-кластерів-за-голосуваннями ,
,                           Самовисування ,          Онищенко О.Р. ,              93 ,     93 ,       ВН ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,        Москаленко Я.М. ,              96 ,     96 ,       ВН ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,       Поплавський М.М. ,             101 ,    101 ,       ВН ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,            Довгий О.С. ,             102 ,    102 ,       ВН ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                                Наш край ,             Шахов С.В. ,             114 ,    114 ,       ВН ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Фурсін І.Г. ,             138 ,    138 ,       ВН ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,           Молоток І.Ф. ,             160 ,    160 ,       ВН ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,          Фельдман О.Б. ,             174 ,    174 ,       ВН ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,         Гіршфельд А.М. ,             179 ,    179 ,       ВН ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,           Лабазюк С.П. ,             188 ,    188 ,       ВН ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,       Рибчинський Є.Ю. ,             211 ,    211 ,       ВН ,                                 1 ,                                  2 ,                                    2 ,                                      3 ,
,                       Радикальна партія ,         Мельничук С.П. ,                 ,        ,       ВН ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                        ВО «Батьківщина» ,            Богдан Р.Д. ,             151 ,    151 ,      ВОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        ВО «Батьківщина» ,           Євтушок С.М. ,             156 ,    156 ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
